data_imp_1 - 98.0-100.0,_BACKGROUND
ADAM28,A1CF
ANXA3,A2M
ARHGAP22,A2MP1
B2M,A4GALT
B4GALT1,AADACL2-AS1
BACH1,AATK
C22orf34,ABCA1
CARD8,ABCA10
CDH9,ABCA12
CFLAR,ABCA2
CHST11,ABCA6
CNTN4,ABCA8
CYTH4,ABCA9
DDX60L,ABCB1
DLGAP1,ABCB4
DLGAP2,ABCC4
DUSP1,ABCC9
E2F3,ABCG2
ENTPD1,ABHD15
ETV5,ABHD3
EYA2,ABI3
FAM149A,ABI3BP
GRIP1,ABL1
HCK,ABLIM1
HCN1,ABO
HIC1,ABR
HIF1A,ABTB2
HLF,ACAA1
KCNIP1,ACACB
KIF26B,ACAD10
KLF5,ACADL
LAPTM5,ACAN
LCP2,ACAP1
LHFPL3,ACER2
LINC00598,ACKR1
LINC01141,ACKR3
MAP3K8,ACO1
MS4A6A,ACOT1
NR2F2-AS1,ACOT11
PAG1,ACP7
PKNOX2,ACSBG1
PLSCR1,ACSF2
RASGEF1C,ACSL1
RGS1,ACSL5
RIN3,ACSM3
ROBO2,ACSM5
SHISA9,ACSS1
SIX1,ACSS3
SLC11A1,ACTA2
SLC2A1,ACTL6A
SORBS2,ACVR1
SOX17,ACVR1C
SOX7,ACVRL1
SOX9,ADA
STAT4,ADAM12
TCF4-AS1,ADAM28
THSD4,ADAM33
VAV1,ADAMTS1
ZEB1,ADAMTS12
,ADAMTS14
,ADAMTS15
,ADAMTS17
,ADAMTS18
,ADAMTS19
,ADAMTS20
,ADAMTS3
,ADAMTS4
,ADAMTS6
,ADAMTS7
,ADAMTS9
,ADAMTS9-AS1
,ADAMTS9-AS2
,ADAMTSL1
,ADAMTSL2
,ADAMTSL3
,ADAMTSL4
,ADAP2
,ADARB1
,ADARB2
,ADARB2-AS1
,ADCY10P1
,ADCY2
,ADCY7
,ADCY8
,ADD3-AS1
,ADGRA3
,ADGRD1
,ADGRE2
,ADGRE4P
,ADGRE5
,ADGRF5
,ADGRG1
,ADGRG2
,ADGRG5
,ADGRG6
,ADGRL2
,ADGRL4
,ADGRV1
,ADH4
,ADIPOR2
,ADIRF
,ADM
,ADNP
,ADNP2
,ADORA2A-AS1
,ADORA2B
,ADPGK
,ADRA1A
,ADRA1B
,ADRB2
,AEBP1
,AEBP2
,AFAP1L1
,AFAP1L2
,AFF4
,AFMID
,AFP
,AGA
,AGAP2
,AGBL1
,AGBL3
,AGER
,AGGF1
,AGMAT
,AGMO
,AGT
,AGTRAP
,AHCTF1
,AHCY
,AHCYL1
,AHCYL2
,AHDC1
,AHNAK
,AHR
,AIDA
,AIF1
,AIF1L
,AIM2
,AIRE
,AK7
,AKAP12
,AKAP13
,AKAP3
,AKNA
,AKR1A1
,AKR1C2
,AKR1D1
,ALDH1A1
,ALDH1A2
,ALDH1L1
,ALDH1L1-AS2
,ALDH3B1
,ALK
,ALOX12P2
,ALOX15B
,ALOX5
,ALOX5AP
,ALPK1
,ALPK3
,ALPL
,ALX3
,ALX4
,AMER2
,AMOT
,AMOTL1
,AMOTL2
,AMZ1
,AMZ2
,ANGPT1
,ANGPT2
,ANGPTL4
,ANK1
,ANKDD1A
,ANKFN1
,ANKRD18A
,ANKRD20A11P
,ANKRD22
,ANKRD30B
,ANKRD36BP1
,ANKRD37
,ANKRD44
,ANKRD55
,ANKRD65
,ANKS1A
,ANKUB1
,ANLN
,ANO2
,ANO3
,ANO4
,ANO6
,ANOS1
,ANP32AP1
,ANTXR2
,ANXA1
,ANXA11
,ANXA2
,ANXA3
,ANXA5
,AOAH
,AOX1
,APAF1
,APBB1IP
,APCDD1
,APCDD1L
,APEX1
,APEX2
,APLF
,APLN
,APLNR
,APMAP
,APOA1-AS
,APOBEC2
,APOBEC3G
,APOC1
,APOD
,APOE
,APOL3
,APOL6
,APOLD1
,AQP1
,AQP4
,AQP4-AS1
,AR
,ARFGAP1
,ARG1
,ARG2
,ARGFX
,ARHGAP10
,ARHGAP15
,ARHGAP18
,ARHGAP22
,ARHGAP24
,ARHGAP25
,ARHGAP26
,ARHGAP26-AS1
,ARHGAP27
,ARHGAP28
,ARHGAP29
,ARHGAP30
,ARHGAP31
,ARHGAP31-AS1
,ARHGAP4
,ARHGAP42
,ARHGAP6
,ARHGAP9
,ARHGDIB
,ARHGEF1
,ARHGEF10L
,ARHGEF26
,ARHGEF26-AS1
,ARHGEF28
,ARHGEF38
,ARHGEF4
,ARHGEF40
,ARHGEF6
,ARID3A
,ARID3B
,ARID3C
,ARID5A
,ARID5B
,ARL15
,ARL5A
,ARMC3
,ARNT
,ARNT2
,ARNTL
,ARNTL2
,ARRB2
,ARRDC2
,ARRDC3
,ARRDC3-AS1
,ARRDC4
,ARRDC5
,ARSI
,ARSJ
,ART4
,ARX
,ASAP3
,ASB14
,ASB18
,ASB4
,ASCC1
,ASCL1
,ASCL2
,ASH2L
,ASIC2
,ASIC4
,ASPA
,ASPH
,ASPN
,ASPSCR1
,ASTN2-AS1
,ASZ1
,ATAD3C
,ATE1-AS1
,ATF1
,ATF2
,ATF3
,ATF4
,ATF5
,ATF6
,ATF6B
,ATF7
,ATG16L2
,ATOH7
,ATOH8
,ATOX1
,ATP10A
,ATP10B
,ATP11A-AS1
,ATP11C
,ATP13A4
,ATP13A5
,ATP1A2
,ATP1B3
,ATP2A3
,ATP2C2
,ATP6V0D2
,ATP7B
,ATP8B1
,ATP8B4
,ATP8B5P
,ATRNL1
,AVEN
,AXL
,AZGP1
,B2M
,B3GAT2
,B3GNT5
,B4GALT1
,BAALC
,BAALC-AS1
,BACE2
,BACH1
,BACH2
,BAD
,BAG3
,BAIAP2L1
,BAMBI
,BANK1
,BANP
,BARD1
,BARX2
,BATF
,BATF3
,BAX
,BAZ1A
,BBOX1
,BBOX1-AS1
,BBX
,BCAM
,BCAN
,BCAR3
,BCAS1
,BCAS2
,BCAT2
,BCHE
,BCL11A
,BCL11B
,BCL2
,BCL2A1
,BCL2L11
,BCL2L12
,BCL2L14
,BCL3
,BCL6
,BCL6B
,BCLAF1
,BCYRN1
,BDNF
,BDNF-AS
,BDP1
,BEND7
,BEST1
,BEST3
,BGN
,BHLHA15
,BHLHE22
,BHLHE40
,BHLHE41
,BICC1
,BIN2
,BIRC3
,BLM
,BLNK
,BMF
,BMP2
,BMP2K
,BMP5
,BMP6
,BMP7
,BMPER
,BMPR1B
,BMX
,BNC1
,BNC2
,BOC
,BOK
,BOK-AS1
,BOLL
,BPTF
,BRCA1
,BRCA2
,BRF1
,BRF2
,BRINP3
,BROX
,BSG
,BST1
,BST2
,BSX
,BTBD11
,BTBD16
,BTBD17
,BTG1
,BTG2
,BTG3
,BTK
,BTN2A2
,BTN3A1
,BTN3A2
,BTNL9
,BVES
,BVES-AS1
,C10orf90
,C11orf65
,C12orf42
,C12orf56
,C12orf60
,C12orf75
,C17orf64
,C18orf54
,C19orf25
,C1QA
,C1QB
,C1QC
,C1QL1
,C1QTNF1
,C1QTNF7
,C1R
,C1RL
,C1orf112
,C1orf122
,C1orf162
,C1orf195
,C1orf54
,C1orf56
,C1orf87
,C20orf197
,C21orf62
,C21orf62-AS1
,C21orf91
,C21orf91-OT1
,C22orf34
,C2CD2
,C2orf76
,C2orf83
,C3
,C3AR1
,C4BPA
,C4orf19
,C4orf45
,C4orf48
,C5
,C5AR1
,C5AR2
,C5orf17
,C5orf64
,C7
,C7orf31
,C7orf61
,C8orf34
,C8orf34-AS1
,C9orf153
,CA1
,CA10
,CA12
,CA14
,CA2
,CA3
,CA3-AS1
,CA4
,CA8
,CABLES1
,CABP4
,CACHD1
,CACNA2D3
,CACNB2
,CACNG4
,CACNG5
,CADPS2
,CAHM
,CALB2
,CALCB
,CALCR
,CALCRL
,CALD1
,CALN1
,CALR
,CAMK2G
,CAMKMT
,CANX
,CAP1
,CAPG
,CAPN13
,CAPN9
,CARD11
,CARD14
,CARD18
,CARD6
,CARD8
,CARD9
,CARF
,CARMN
,CARNS1
,CARTPT
,CASC15
,CASC17
,CASC19
,CASC6
,CASC9
,CASP1
,CASP10
,CASP4
,CASP7
,CASP8
,CASS4
,CAT
,CATSPERG
,CAV1
,CAV2
,CAV3
,CBFA2T2
,CBFB
,CBLB
,CBLN2
,CBX7
,CC2D2B
,CCBE1
,CCDC102B
,CCDC122
,CCDC13-AS1
,CCDC141
,CCDC15
,CCDC150
,CCDC152
,CCDC160
,CCDC168
,CCDC169-SOHLH2
,CCDC18
,CCDC190
,CCDC25
,CCDC26
,CCDC50
,CCDC60
,CCDC68
,CCDC69
,CCDC80
,CCDC88B
,CCDC88C
,CCDC97
,CCK
,CCL2
,CCL3
,CCL4
,CCL4L2
,CCL5
,CCNB2
,CCNB3
,CCND1
,CCND3
,CCNE2
,CCNG2
,CCNT2
,CCR1
,CD109
,CD14
,CD163
,CD163L1
,CD22
,CD226
,CD247
,CD274
,CD300A
,CD302
,CD320
,CD33
,CD34
,CD36
,CD37
,CD38
,CD4
,CD40
,CD44
,CD53
,CD55
,CD58
,CD59
,CD6
,CD63
,CD69
,CD72
,CD74
,CD82
,CD83
,CD84
,CD86
,CD9
,CD93
,CD96
,CDC14A
,CDC42EP1
,CDC42EP4
,CDC5L
,CDCA7L
,CDCP1
,CDH1
,CDH10
,CDH12
,CDH13
,CDH18
,CDH19
,CDH20
,CDH23
,CDH4
,CDH5
,CDH6
,CDH7
,CDH8
,CDH9
,CDHR3
,CDK18
,CDK19
,CDK2AP1
,CDK2AP2
,CDKN1A
,CDKN1B
,CDKN1C
,CDKN2A
,CDKN2B
,CDKN2B-AS1
,CDR2L
,CDX1
,CEACAM1
,CEACAM21
,CEBPA
,CEBPB
,CEBPD
,CEBPG
,CEBPZ
,CELF4
,CELF5
,CEMIP
,CENPB
,CENPBD1
,CENPE
,CENPF
,CENPP
,CENPQ
,CEP128
,CEP135
,CEP152
,CEP85
,CERCAM
,CERS2
,CERS3
,CERS4
,CERS5
,CERS6
,CFAP47
,CFAP54
,CFH
,CFL2
,CFLAR
,CFLAR-AS1
,CFTR
,CGNL1
,CH25H
,CHADL
,CHAMP1
,CHD1
,CHD2
,CHD7
,CHEK2
,CHI3L1
,CHL1-AS1
,CHMP1B2P
,CHODL
,CHODL-AS1
,CHRDL1
,CHRM2
,CHRM3
,CHRM3-AS2
,CHRM5
,CHRNA7
,CHST11
,CHST15
,CHST3
,CHST6
,CHST8
,CHST9
,CHSY1
,CHSY3
,CHURC1
,CIB1
,CIC
,CIITA
,CKMT1B
,CKS2
,CLCA4
,CLCN5
,CLDN10
,CLDN14
,CLDN15
,CLDN5
,CLDND1
,CLEC14A
,CLEC17A
,CLEC19A
,CLEC1A
,CLEC2A
,CLEC2B
,CLEC2D
,CLEC5A
,CLEC7A
,CLEC9A
,CLIC1
,CLIC2
,CLIC4
,CLIC5
,CLK1
,CLMN
,CLMP
,CLNK
,CLOCK
,CLSTN2
,CLTCL1
,CLU
,CLUL1
,CLYBL
,CMAHP
,CMKLR1
,CMTM3
,CMTM5
,CMTM6
,CMTM7
,CMTM8
,CNBD1
,CNDP1
,CNGA1
,CNN3
,CNOT3
,CNOT4
,CNOT6
,CNOT8
,CNP
,CNPY3
,CNR1
,CNTLN
,CNTN2
,CNTN3
,CNTN4
,CNTN5
,CNTN6
,CNTNAP3
,CNTNAP5
,COBLL1
,COL10A1
,COL11A1
,COL12A1
,COL13A1
,COL14A1
,COL15A1
,COL18A1
,COL1A2
,COL20A1
,COL21A1
,COL23A1
,COL24A1
,COL25A1
,COL27A1
,COL3A1
,COL4A1
,COL4A2
,COL4A3
,COL4A4
,COL4A5
,COL4A6
,COL5A2
,COL5A3
,COL6A2
,COL6A3
,COL6A6
,COL8A1
,COL8A2
,COL9A1
,COL9A2
,COL9A3
,COLEC12
,COLGALT1
,COLGALT2
,COPE
,COQ2
,CORO1B
,COTL1
,CP
,CPA1
,CPA6
,CPAMD8
,CPB1
,CPB2
,CPB2-AS1
,CPE
,CPEB1
,CPED1
,CPM
,CPNE4
,CPNE8
,CPO
,CPOX
,CPS1
,CPSF4
,CPT1A
,CPTP
,CPVL
,CPXM2
,CR1
,CRAT37
,CRB1
,CRB2
,CREB1
,CREB3
,CREB3L1
,CREB3L2
,CREB3L4
,CREB5
,CREBL2
,CREBZF
,CREM
,CRH
,CRHBP
,CRIM1
,CRISPLD1
,CRISPLD2
,CRLF1
,CRTC2
,CRTC3-AS1
,CRX
,CRYAB
,CRYBG3
,CSF1
,CSF1R
,CSF3R
,CSGALNACT1
,CSPG4
,CSRNP1
,CSRP1
,CSRP2
,CST3
,CSTF2
,CTBP1
,CTBP1-AS
,CTCF
,CTCFL
,CTD-2350J17.1
,CTDSP1
,CTH
,CTNNA2
,CTNNB1
,CTNS
,CTSB
,CTSC
,CTSH
,CTSL
,CTSO
,CTSS
,CTSZ
,CTTNBP2NL
,CUBN
,CUX1
,CUX2
,CX3CR1
,CXCL12
,CXCL14
,CXCL16
,CXCR4
,CXXC1
,CXXC5
,CYB5R1
,CYB5R2
,CYBA
,CYBRD1
,CYCS
,CYFIP1
,CYP1B1
,CYP1B1-AS1
,CYP27C1
,CYP39A1
