data_imp_1 - 98.0-100.0,_BACKGROUND
,CYP3A5
,CYP4F12
,CYP4F3
,CYP7B1
,CYSLTR1
,CYSLTR2
,CYTH4
,CYTIP
,CYTL1
,CYYR1
,CYYR1-AS1
,DAAM2
,DAB1
,DAB2
,DACH1
,DACH2
,DAGLB
,DAP
,DAPK2
,DAPP1
,DAZAP1
,DAZAP2
,DBI
,DBP
,DBX2
,DCBLD1
,DCC
,DCDC2
,DCDC2C
,DCHS2
,DCLK2
,DCN
,DCST2
,DDAH1
,DDAH2
,DDB2
,DDIT3
,DDIT4
,DDO
,DDR2
,DDX20
,DDX21
,DDX3Y
,DDX4
,DDX43
,DDX53
,DDX60
,DDX60L
,DEAF1
,DEF6
,DENND1C
,DENND2A
,DENND2C
,DENND3
,DEPDC1B
,DEPDC7
,DEPTOR
,DERA
,DGAT2L6
,DGCR8
,DGKB
,DGKG
,DGKH
,DHCR24
,DHCR7
,DHRS3
,DHRS9
,DHX36
,DIAPH2
,DIAPH2-AS1
,DIAPH3
,DIDO1
,DIO1
,DIO2
,DIO2-AS1
,DIO3OS
,DIRC3
,DIS3
,DISC1
,DISC1FP1
,DISP1
,DKK2
,DLC1
,DLEU1
,DLEU7
,DLGAP1
,DLGAP1-AS5
,DLGAP2
,DLL1
,DLL4
,DLX1
,DLX2
,DLX4
,DLX5
,DLX6
,DLX6-AS1
,DMAP1
,DMBX1
,DMC1
,DMRT1
,DMRT2
,DMRT3
,DMRTA1
,DMRTA2
,DMRTC2
,DNAH11
,DNAH12
,DNAH17
,DNAH17-AS1
,DNAH7
,DNAJA4
,DNAJB1
,DNAJC21
,DNAJC22
,DNM1P46
,DNM3OS
,DNMT1
,DNMT3A
,DNTTIP1
,DOCK11
,DOCK2
,DOCK4-AS1
,DOCK5
,DOCK6
,DOCK8
,DOCK9-AS1
,DOHH
,DOK1
,DOK3
,DOK6
,DPEP2
,DPF1
,DPF2
,DPP10-AS1
,DPP10-AS3
,DPRX
,DPYD-AS1
,DPYSL3
,DPYSL5
,DR1
,DRAIC
,DRAM1
,DRAP1
,DRGX
,DSC2
,DSCAM
,DSP
,DTHD1
,DTL
,DTNA
,DTX3L
,DUOX1
,DUS2
,DUS3L
,DUSP1
,DUSP10
,DUSP16
,DUSP2
,DUSP22
,DUSP26
,DUSP5
,DUSP6
,DUX4
,DUXA
,DYSF
,E2F1
,E2F2
,E2F3
,E2F4
,E2F5
,E2F6
,E2F7
,E2F8
,E4F1
,EAF2
,EBF1
,EBF2
,EBF3
,EBF4
,EBI3
,ECHDC3
,ECM2
,ECSIT
,ECT2
,EDA
,EDA2R
,EDN1
,EDNRA
,EDNRB
,EDNRB-AS1
,EEF1B2
,EEF1D
,EFCAB13
,EFCAB14-AS1
,EFEMP1
,EFHD1
,EFNA1
,EFNA5
,EFS
,EGFEM1P
,EGFL7
,EGFLAM
,EGFR
,EGLN3
,EGR1
,EGR2
,EGR3
,EGR4
,EHBP1L1
,EHD4
,EHF
,EIF4A3
,EIF5A2
,ELAVL2
,ELF1
,ELF2
,ELF3
,ELF4
,ELF5
,ELK1
,ELK3
,ELK4
,ELL2
,ELMO1-AS1
,ELN
,ELOVL1
,ELOVL2
,ELOVL5
,ELOVL7
,EMB
,EMC10
,EMCN
,EMID1
,EMILIN1
,EMILIN2
,EML3
,EML4
,EMP1
,EMP2
,EMP3
,EMX1
,EMX2
,EMX2OS
,EN2
,ENG
,ENO1
,ENO4
,ENOSF1
,ENOX2
,ENPEP
,ENPP1
,ENPP2
,ENPP6
,ENTHD1
,ENTPD1
,ENTPD1-AS1
,ENTPD2
,EOMES
,EP300
,EPAS1
,EPB41L4A
,EPHA1-AS1
,EPHA2
,EPHA3
,EPHA5
,EPHA6
,EPHA7
,EPHB1
,EPHX1
,EPN2
,EPN2-AS1
,EPOR
,EPS8
,EPSTI1
,ERAP2
,ERBB3
,ERCC6L
,ERG
,ERI1
,ERMAP
,ERMN
,ERN1
,ERRFI1
,ESAM
,ESR1
,ESR2
,ESRP1
,ESRRA
,ESRRB
,ESRRG
,ESYT2
,ETFB
,ETNPPL
,ETS1
,ETS2
,ETV1
,ETV2
,ETV3
,ETV4
,ETV5
,ETV6
,ETV7
,EVC2
,EVI2A
,EVI2B
,EWSR1
,EXO5
,EXPH5
,EYA1
,EYA2
,EYA4
,EYS
,EZH2
,EZR
,F11-AS1
,F11R
,F13A1
,F2R
,F3
,F8
,FA2H
,FAAP24
,FABP7
,FAM107A
,FAM107B
,FAM110B
,FAM111A
,FAM114A1
,FAM118A
,FAM124A
,FAM126A
,FAM149A
,FAM157A
,FAM160A1
,FAM167A
,FAM167A-AS1
,FAM177B
,FAM178B
,FAM181B
,FAM186A
,FAM189A2
,FAM20A
,FAM217A
,FAM222A-AS1
,FAM53A
,FAM53B-AS1
,FAM78A
,FAM89A
,FANCB
,FANCC
,FANK1
,FAP
,FAS
,FAT1
,FAT3
,FAT4
,FAU
,FAXDC2
,FBLN1
,FBLN2
,FBLN5
,FBN2
,FBXL19
,FBXL7
,FCER1G
,FCGBP
,FCGR1A
,FCGR1B
,FCGR1CP
,FCGR2A
,FCGR3A
,FCGRT
,FENDRR
,FER1L6
,FER1L6-AS1
,FER1L6-AS2
,FERMT1
,FERMT3
,FES
,FEZ1
,FEZF1
,FEZF2
,FFAR1
,FGD2
,FGD3
,FGD4
,FGD5
,FGD6
,FGF1
,FGF10
,FGF13
,FGF14
,FGF2
,FGF20
,FGF7
,FGFR1
,FGFR3
,FGL1
,FGL2
,FGR
,FHL2
,FHL3
,FHL5
,FHOD1
,FIGLA
,FIGN
,FILIP1
,FILIP1L
,FIP1L1
,FIRRE
,FIS1
,FIZ1
,FKBP10
,FKBP5
,FLI1
,FLJ40194
,FLJ46284
,FLNA
,FLNC
,FLRT2
,FLT1
,FLT3
,FLVCR2
,FMN1
,FMNL1
,FMNL3
,FMO2
,FMO3
,FMO4
,FMO5
,FMO6P
,FN1
,FNDC3B
,FOLH1
,FOS
,FOSB
,FOSL1
,FOSL2
,FOXA3
,FOXB1
,FOXC1
,FOXC2
,FOXD1
,FOXD2
,FOXD4
,FOXD4L1
,FOXD4L3
,FOXD4L5
,FOXD4L6
,FOXF1
,FOXF2
,FOXH1
,FOXJ1
,FOXJ2
,FOXJ3
,FOXK1
,FOXK2
,FOXL1
,FOXL2
,FOXM1
,FOXN2
,FOXN3
,FOXN3-AS2
,FOXN4
,FOXO1
,FOXO3
,FOXO4
,FOXO6
,FOXP1
,FOXP1-AS1
,FOXP2
,FOXP3
,FOXP4
,FOXQ1
,FOXR1
,FOXS1
,FPR1
,FPR3
,FRAS1
,FREM1
,FREM2
,FRK
,FRMD3
,FRMD4B
,FRMD6
,FRMPD2
,FRMPD3
,FRMPD4
,FRRS1
,FRZB
,FSCN1
,FSHR
,FSIP2
,FSTL1
,FSTL4
,FSTL5
,FTH1
,FTL
,FUBP1
,FUT10
,FXYD5
,FYCO1
,FZD6
,G0S2
,GAB3
,GABPA
,GABPB1
,GABRA2
,GABRE
,GABRG1
,GABRG3
,GABRG3-AS1
,GACAT3
,GAD1
,GAD2
,GADD45A
,GADD45B
,GADD45G
,GAL3ST1
,GAL3ST4
,GALM
,GALNT10
,GALNT14
,GALNT15
,GALNT18
,GALNT6
,GALNTL6
,GALR1
,GAR1
,GAS1
,GAS2L3
,GAS6-AS1
,GATA1
,GATA2
,GATA2-AS1
,GATA3
,GATA4
,GATA6
,GATAD1
,GATAD2A
,GBE1
,GBP1
,GBP2
,GBP3
,GBP4
,GBX1
,GCH1
,GCM1
,GCM2
,GCNT1
,GCNT2
,GCNT7
,GDNF
,GDNF-AS1
,GEM
,GFAP
,GFI1
,GFI1B
,GFRA1
,GGT5
,GHR
,GIMAP2
,GIMAP4
,GIMAP7
,GIMAP8
,GINS3
,GINS4
,GIPR
,GIT2
,GJA1
,GJB1
,GJB6
,GJC1
,GJC2
,GK
,GLA
,GLDC
,GLDN
,GLI1
,GLI2
,GLI3
,GLI4
,GLIPR1L1
,GLIPR2
,GLIS1
,GLIS2
,GLIS3
,GLOD5
,GLRA1
,GLRA2
,GLRX
,GLUL
,GLYATL1
,GLYCTK
,GM2A
,GMEB1
,GMEB2
,GMFG
,GMIP
,GMPR
,GNA13
,GNA14
,GNA14-AS1
,GNA15
,GNAL
,GNB4
,GNG11
,GNG12
,GNG12-AS1
,GNG4
,GNG8
,GNGT1
,GNLY
,GOLIM4
,GOT1
,GPAM
,GPANK1
,GPAT3
,GPBP1L1
,GPC4
,GPC5
,GPC5-AS1
,GPC5-AS2
,GPC6
,GPCPD1
,GPD1
,GPER1
,GPIHBP1
,GPM6A
,GPNMB
,GPR132
,GPR149
,GPR156
,GPR160
,GPR17
,GPR174
,GPR183
,GPR34
,GPR37
,GPR37L1
,GPR39
,GPR62
,GPR65
,GPR85
,GPRC5C
,GPRIN3
,GPSM3
,GPX1
,GPX3
,GRAMD1A
,GRAMD1C
,GRAP2
,GRAPL
,GRB10
,GRB2
,GREB1L
,GREM1
,GREM2
,GRHL1
,GRHL2
,GRHL3
,GRHPR
,GRIA1
,GRID1-AS1
,GRID2
,GRIK1
,GRIK2
,GRIK3
,GRIN2A
,GRIN2C
,GRIN3A
,GRIP1
,GRK5
,GRM1
,GRM3
,GRM7
,GRM8
,GRN
,GSDMD
,GSG1L
,GSN
,GSN-AS1
,GSTK1
,GSTP1
,GTF2A1
,GTF2A2
,GTF2B
,GTF2F1
,GTF2H3
,GTF2I
,GTF2IRD1
,GTF3A
,GTF3C2
,GTF3C5
,GTPBP1
,GTPBP6
,GTSCR1
,GULP1
,GXYLT2
,GYG2
,GYG2P1
,GYPC
,GZF1
,HACD1
,HADHB
,HAGLR
,HAMP
,HAP1
,HAPLN2
,HAS2
,HAS2-AS1
,HAVCR2
,HBB
,HBEGF
,HBP1
,HCFC1
,HCFC2
,HCG22
,HCK
,HCLS1
,HCN1
,HCP5
,HCRTR2
,HDAC1
,HDAC2
,HDAC3
,HDAC9
,HDDC2
,HDX
,HEATR5A
,HEBP2
,HECA
,HECW1
,HEG1
,HELB
,HELZ2
,HEPH
,HEPN1
,HERC2P2
,HERC2P3
,HERC2P9
,HERC5
,HERPUD1
,HES1
,HES2
,HES4
,HES5
,HES6
,HES7
,HESX1
,HEY1
,HEY2
,HEYL
,HFE
,HGF
,HHAT
,HHEX
,HHIP
,HIC1
,HIC2
,HIF1A
,HIF3A
,HIGD1B
,HINFP
,HIP1
,HIRIP3
,HIVEP1
,HIVEP2
,HIVEP3
,HK2
,HKDC1
,HLA-A
,HLA-B
,HLA-DMB
,HLA-DPA1
,HLA-DPB1
,HLA-DQA1
,HLA-DQB1
,HLA-DRA
,HLA-DRB1
,HLA-DRB5
,HLA-E
,HLA-F
,HLCS
,HLF
,HLTF
,HLX
,HLX-AS1
,HMBOX1
,HMCN1
,HMG20A
,HMG20B
,HMGA1
,HMGA2
,HMGB1
,HMGB2
,HMGB3
,HMGB4
,HMGCS1
,HMGN2P46
,HMGXB3
,HMGXB4
,HMOX1
,HMSD
,HMX1
,HNF1A
,HNF1B
,HNF4A
,HNF4G
,HNMT
,HNRNPA0
,HNRNPC
,HNRNPH3
,HNRNPKP3
,HNRNPLL
,HNRNPUL1
,HOMER1
,HOMEZ
,HOXB3
,HOXC4
,HOXD1
,HOXD3
,HP1BP3
,HPGD
,HPGDS
,HPN
,HPN-AS1
,HPR
,HPS3
,HPSE
,HPSE2
,HRH1
,HS3ST2
,HS3ST3A1
,HS3ST3B1
,HS3ST4
,HS3ST5
,HS6ST2
,HS6ST3
,HSD11B1
,HSF1
,HSF2
,HSF4
,HSF5
,HSFY2
,HSP90AA1
,HSPA12B
,HSPA1A
,HSPA1L
,HSPA2
,HSPA5
,HSPB1
,HSPB8
,HSPBAP1
,HSPD1
,HSPE1-MOB4
,HSPG2
,HSPH1
,HTATIP2
,HTR1E
,HTR1F
,HTR2B
,HTR2C
,HTR4
,HTR7
,HULC
,HUNK
,HYAL2
,ICAM1
,ICAM2
,ICOSLG
,ID1
,ID2
,ID3
,ID4
,IDI1
,IDI2-AS1
,IER2
,IER3
,IER5
,IFI16
,IFI27L2
,IFI44
,IFI44L
,IFIH1
,IFIT2
,IFIT3
,IFITM3
,IFNG-AS1
,IFNGR1
,IFNLR1
,IFRD1
,IGF1
,IGF2BP2
,IGFBP2
,IGFBP3
,IGFBP4
,IGFBP5
,IGFBP6
,IGFBP7
,IGFN1
,IGSF1
,IGSF11-AS1
,IGSF21
,IGSF6
,IKBIP
,IKBKE
,IKZF1
,IKZF2
,IKZF3
,IKZF4
,IKZF5
,IL10RA
,IL12RB2
,IL13RA1
,IL15
,IL15RA
,IL16
,IL17RA
,IL18
,IL18R1
,IL1B
,IL1R1
,IL1RAP
,IL1RAPL2
,IL21
,IL21R
,IL24
,IL26
,IL33
,IL4R
,IL6R
,IL6ST
,ILF2
,ILF3
,ING3
,ING4
,INHBA
,INPP4B
,INPP5D
,INPPL1
,INSC
,INSIG1
,INSM1
,INSM2
,IP6K3
,IPO13
,IPO9-AS1
,IQCA1
,IQCH
,IQCH-AS1
,IQCJ-SCHIP1
,IQGAP1
,IQGAP2
,IRAK2
,IRAK3
,IRAK4
,IRF1
,IRF2
,IRF3
,IRF4
,IRF5
,IRF6
,IRF7
,IRF8
,IRF9
,IRGM
,IRX2
,IRX4
,IRX6
,ISG15
,ISG20
,ISL2
,ISM1
,ISOC1
,ISYNA1
,ITGA1
,ITGA10
,ITGA11
,ITGA2
,ITGA4
,ITGA5
,ITGA6
,ITGA7
,ITGA8
,ITGAL
,ITGAM
,ITGAX
,ITGB2
,ITGB2-AS1
,ITGB4
,ITGB5
,ITGBL1
,ITIH5
,ITK
,ITM2A
,ITPKB
,ITPKC
,ITPR2
,ITPR3
,ITPRIP
,IVD
,IZUMO4
,JADE3
,JAG1
,JAK3
,JAM2
,JAZF1
,JDP2
,JOSD2
,JPH2
,JRK
,JRKL
,JUN
,JUNB
,JUND
,JUP
,KANK1
,KANK2
,KANK3
,KANK4
,KAT2B
,KAT7
,KAZN
,KBTBD12
,KC6
,KCNAB1
,KCNAB1-AS2
,KCNB2
,KCNC2
,KCND2
,KCNE1
,KCNE3
,KCNE4
,KCNH5
,KCNH7
,KCNH8
,KCNIP1
,KCNJ16
,KCNJ2
,KCNJ2-AS1
,KCNJ5
,KCNJ8
,KCNK13
,KCNK2
,KCNK6
,KCNMB1
,KCNMB2
,KCNMB2-AS1
,KCNMB4
,KCNN3
,KCNQ1
,KCNQ1OT1
,KCNQ3
,KCNQ5
,KCNS3
,KCNT2
,KCTD12
,KCTD16
,KCTD4
,KCTD8
