M19050.OPC,M59593.OPC,M19050.Micro,M59593.Micro,M19050.Oligo,M59593.Oligo
IN_PVALB,GHR,RPS6KA1,JDP2,LINC01170,IN_PVALB
PPP1R1C,MYT1,ARHGDIB,HCLS1,THOC2,DPYSL3
TRPS1,AHCY,SKAP2,BLNK,RGCC,GALNT18
PTPRZ1,FOXC1,ACSL1,RILPL2,FAM126A,DLC1
SLC13A4,PRKG1,DIAPH2,PPP1R18,WIPF1,FRMD4B
PID1,TMEM246-AS1,TFEC,LTBR,OLIG1,TOX3
LUZP2,TMEM132D,PLSCR1,GJB1,DPYSL5,ZBTB18
PCSK5,CRIM1,PIK3CD,ALOX5AP,HP1BP3,TCF4
PHKA1,MYCL,LAT2,PLA2G4A,CDKN1C,TMEM246-AS1
EN_L6_IT_2,DTNA,NCK2,CD86,COL4A5,OPC
KLHL1,CAV2,SFMBT2,ETV5,SOX10,COLGALT2
CPOX,G0S2,SDK1,PDK1,ZNF652,IGFBP3
EN_L6_IT_1,AKNA,PLA2G15,TMEM156,DAAM2,SGK1
FUT10,PPP3CB-AS1,IGSF21,SH3TC1,ZNF641,PPP3CB-AS1
EN_L6_CT,BCAS1,ZNF860,TLE3,ZNF697,SLC35F4
ADAMTS12,CNP,HLA-DQB1,PLCB2,MOBP,CNP
EN_L6B,PLLP,LYL1,FLI1,KIZ-AS1,DENND2A
GDNF-AS1,KCNH8,MLXIPL,CEBPB,LPAR1,FAM107B
FERMT1,ESR2,SLCO2B1,CD84,CHD7,PLLP
INPP4B,ASCL1,DLEU7,IL21R,UACA,ZNF146
LHFPL3-AS1,LHX6,OPRM1,TGIF1,GPR17,PXK
CRH,SLC6A9,TLR5,EDNRB-AS1,DOCK5,KCNH8
LHFPL3,PRELID2,RASSF8,MGST2,KAT2B,BBX
EN_L5_6_NP,EYA4,SYK,SP100,OLIG2,BCL11B
NKAIN3,OLIG2,HAMP,MSR1,TRIM62,BTG2
APCDD1L,KIAA1217,ST8SIA4,PMEPA1,SEMA6A,BTBD11
IN_SST,Oligo,IRAK3,EMP2,SOX8,VRK2
DLGAP1-AS5,KLF12,CYTL1,ETV4,ATP10B,CALD1
SDC3,KITLG,ADGRE2,FMNL1,PLD5,HES6
FZD6,CA10,GCNT2,CRTC2,RNF19A,RHOU
AMZ1,PLPP4,GK,MFNG,UGT8,ZNF302
QRFPR,RHOU,PLEKHO1,ARHGAP9,RNH1,C10orf90
SLC35F1,CHRDL1,SELPLG,ARL5A,NACAD,PRR5L
IN_VIP,C8orf34,LINC01091,CEACAM21,RASSF2,KIF6
BCHE,MARCKSL1,C1QA,LAPTM5,ARHGAP22,LINC00899
SOX13,KIF26B,SH3RF3,KCNMB1,ST18,BAMBI
NR2E1,C10orf90,ARHGAP25,,NKX6-2,EYA4
Astro,LINC01363,FAM149A,,HIP1,ARRDC3
NXPH1,ADAMTS9,KCNQ3,,AFAP1L2,MATN2
RXRG,DLL1,TBXAS1,,CLMN,PLPPR1
ADARB2,ARHGAP42,MAFB,,CXXC5,
GRIK3,TEAD3,IKZF1,,,
ADCY8,NTM-AS1,ARRB2,,,
ARHGEF4,SPSB4,,,,
ADAMTS17,SEZ6L,,,,
ZEB1,FIGN,,,,
OPHN1,ONECUT1,,,,
SGCZ,MATN2,,,,
SOX6,,,,,
EGFEM1P,,,,,
TOX,,,,,
IN_LAMP5_LHX6,,,,,
GOLIM4,,,,,
CHST11,,,,,
CRB1,,,,,
MCTP2,,,,,
