Gene,Gene Prioritization Count,Overlapping
ETV3,64,False
ETV4,7,True
ETV5,73,True
ETV6,151,False
ETV7,25,False
EWSR1,18,True
EXO5,1,False
EZH2,81,False
EZR,2,False
FAAP24,2,False
FANK1,6,True
FBXL19,1,True
FCGR1CP,1,False
FEZ1,5,True
FEZF1,5,False
FEZF2,3,True
FIGLA,4,False
FIZ1,3,True
FLI1,21,False
FOS,95,True
FOSB,43,False
FOSL1,62,False
FOSL2,64,True
FOXA3,11,False
FOXB1,11,False
FOXC1,62,False
FOXC2,24,False
FOXD1,19,False
FOXD2,17,False
FOXD4,9,False
FOXD4L1,2,False
FOXD4L3,3,False
FOXD4L5,11,False
FOXD4L6,5,False
FOXF1,86,False
FOXF2,23,False
FOXH1,10,False
FOXJ1,20,True
FOXJ2,77,True
FOXJ3,180,False
FOXK1,116,False
FOXK2,73,True
FOXL1,15,False
FOXL2,34,False
FOXM1,13,False
FOXN2,241,True
FOXN3,172,True
FOXN4,4,False
FOXO1,367,True
FOXO3,131,True
FOXO4,42,True
FOXO6,22,True
FOXP1,14,True
FOXP2,26,True
FOXP3,15,False
FOXP4,54,True
FOXQ1,28,False
FOXR1,2,False
FOXS1,4,False
FUBP1,13,True
GABPA,64,True
GABPB1,82,True
GADD45A,11,True
GAR1,1,False
GATA1,13,True
GATA2,116,False
GATA3,42,False
GATA4,23,False
GATA6,20,False
GATAD2A,1,True
GBX1,21,False
GCM1,11,False
GCM2,4,False
GFI1,13,False
GFI1B,7,False
GIT2,6,True
GLI1,19,False
GLI2,38,True
GLI3,6,True
GLI4,1,True
GLIS1,3,True
GLIS2,20,True
GLIS3,25,True
GMEB1,15,False
GMEB2,9,False
GPR183,1,True
GRHL1,12,False
GRHL2,5,True
GRHL3,2,False
GRHPR,2,True
GTF2A1,16,True
GTF2A2,2,True
GTF2B,32,True
GTF2F1,46,False
GTF2H3,1,True
GTF2I,7,True
GTF2IRD1,39,True
GTF3A,7,True
GTF3C2,33,True
GTF3C5,2,False
GTPBP6,1,True
GZF1,3,False
HBP1,32,True
HCFC1,52,False
HCFC2,1,True
HDAC1,17,True
HDAC2,45,True
HDX,6,True
HES1,52,False
HES2,5,False
HES4,15,True
HES5,11,True
HES6,9,True
HES7,23,False
HESX1,26,True
HEY1,6,True
HEY2,18,True
HEYL,8,True
HHAT,1,True
HHEX,3,True
HIC1,38,False
HIC2,6,True
HIF1A,32,True
HINFP,19,False
HIVEP1,31,True
HIVEP2,16,True
HIVEP3,9,True
HLCS,1,False
HLF,28,True
HLTF,14,True
HLX,7,False
HMBOX1,50,True
HMG20A,1,False
HMG20B,1,False
HMGA1,25,True
HMGA2,9,True
HMGB1,23,True
HMGB2,20,True
HMGB3,3,True
HMGB4,1,False
HMX1,6,True
HNF1A,9,False
HNF1B,9,False
HNF4A,14,True
HNF4G,35,False
HNRNPA0,2,False
HNRNPC,1,True
HNRNPH3,4,True
HOMEZ,7,True
HOXB3,14,False
HOXC4,13,False
HOXD1,12,False
HOXD3,5,True
HP1BP3,3,True
HS3ST3B1,1,False
HSF1,75,False
HSF2,26,True
HSF4,21,True
HSF5,4,True
HSFY2,3,False
HSPA1L,2,True
HSPA5,2,True
HSPD1,1,False
HTATIP2,1,True
ID1,2,False
ID2,1,False
ID4,23,True
IKZF1,37,False
IKZF2,24,True
IKZF3,4,False
IKZF4,1,True
IKZF5,1,True
IL21,2,False
IL24,1,False
ILF2,20,False
ING4,6,False
INSM1,1,True
INSM2,1,False
IRF1,33,True
IRF2,138,True
IRF3,172,True
IRF4,25,False
IRF5,111,False
IRF6,15,False
IRF7,104,False
IRF8,273,False
IRF9,30,False
IRX2,4,False
IRX4,2,False
IRX6,6,False
IVD,3,True
JAZF1,29,True
JDP2,135,True
JUN,124,True
JUNB,98,True
JUND,291,True
KCNK6,1,False
KDM2A,8,False
KDM2B,16,False
KDM4B,16,False
KDM4C,21,False
KDM4D,5,True
KDM5A,129,False
KDM5D,4,False
KDM7A,3,True
KIF22,1,True
KLF10,50,False
KLF11,36,False
KLF12,3,True
KLF13,108,False
KLF15,33,True
KLF16,69,True
KLF17,14,False
KLF2,41,True
KLF3,88,False
KLF4,65,True
KLF5,5,True
KLF6,79,True
KLF7,47,True
KLF8,16,True
KLF9,75,True
KLRG1,1,True
KMO,1,True
KMT2A,11,True
LAP3,1,True
LARP1,29,True
LARP4,2,False
LBX2,8,False
LCORL,1,True
LEF1,36,False
LHX1,4,False
LHX2,78,True
LHX4,13,False
LHX6,7,True
LINC01500,1,False
LMO2,13,True
LMX1A,14,False
LMX1B,10,False
LRRFIP1,3,True
LSM6,1,True
LTF,6,False
LUZP1,2,True
LUZP2,1,True
LYL1,21,False
MAF,55,True
MAFB,40,True
MAFF,55,True
MAFG,86,True
MAFK,59,True
MAP4K2,1,True
MAPK1,10,True
MAX,49,True
MAZ,24,True
MBD1,2,False
MBD2,8,True
MBNL2,81,True
MBNL3,1,True
MBTPS2,3,False
MCTP2,1,True
MDM2,3,True
MECOM,15,False
MECP2,41,True
MEF2A,21,True
MEF2C,20,True
MEF2D,97,False
MEIS1,87,True
MEIS2,26,False
MEIS3,12,True
MEOX1,7,True
MEOX2,7,True
MESP2,3,False
METTL14,4,False
METTL3,4,True
MEX3C,3,False
MFSD4B,1,True
MGA,85,True
MIEF1,3,True
MIOS,4,True
MITF,28,True
MIXL1,5,False
MLX,19,False
MLXIP,11,False
MLXIPL,14,True
MNT,23,True
MNX1,14,False
MRPL1,1,True
MRPS25,5,True
MSC,12,False
MSI2,17,True
MSRA,1,True
MSRB3,2,True
MSX1,45,False
MSX2,47,False
MTA3,51,False
MTF1,15,True
MXD1,9,True
MXD3,8,True
MXD4,22,True
MXI1,179,True
MYB,11,True
MYBL1,51,True
MYBL2,24,False
MYC,62,False
MYCL,1,False
MYCN,10,True
MYEF2,43,True
MYLIP,1,True
MYNN,5,False
MYPOP,8,True
MZF1,50,True
NAGS,1,False
NANOG,16,False
NANOGP8,7,False
NANOS1,1,True
NAP1L1,2,True
NCBP2,1,True
NCOR1,8,True
NCOR2,2,True
NELFA,2,True
NELFB,1,False
NEUROD2,5,True
NF1,25,True
NFAT5,137,True
NFATC1,84,True
NFATC2,68,True
NFATC3,82,False
NFATC4,92,True
NFE2,10,False
NFE2L1,58,True
NFE2L2,102,True
NFE2L3,7,True
NFIA,108,True
NFIB,89,True
NFIC,134,True
NFIL3,67,True
NFIX,52,False
NFKB1,200,True
NFKB2,76,False
NFYA,59,True
NFYB,30,True
NFYC,42,True
NHLH1,15,False
NHLH2,4,True
NKX1-2,7,False
NKX2-2,23,True
NKX2-8,5,False
NKX3-1,21,False
NKX6-1,13,False
NKX6-2,132,False
NKX6-3,6,False
NMI,2,False
NMRAL1,2,True
NNT,7,True
NOBOX,1,False
NOC2L,2,False
NONO,3,True
NOTO,4,False
NPAS2,6,True
NPDC1,9,True
NR0B1,3,False
NR1D1,43,True
NR1D2,30,True
NR1H2,26,True
NR1H3,48,True
NR1H4,10,False
NR1I2,7,False
NR1I3,12,False
NR2C1,102,True
NR2C2,143,True
NR2E1,21,True
NR2E3,5,False
NR2F1,32,True
NR2F2,10,False
NR2F6,47,True
NR3C1,52,True
NR3C2,7,True
NR4A1,10,True
NR4A2,5,True
NR4A3,3,True
NR5A1,1,False
NR5A2,14,True
NR6A1,16,True
NRF1,74,True
NRL,13,True
NUCB1,4,False
NUP133,2,True
NXPH3,1,True
OLIG1,11,True
OLIG2,21,True
ONECUT1,14,True
ONECUT2,7,True
ONECUT3,5,False
OSR1,4,False
OTP,5,False
OTUD4,5,True
OTX1,14,False
OVOL1,1,False
OVOL2,10,True
OVOL3,2,False
PARP1,6,False
PATZ1,42,False
PAX2,11,False
PAX3,7,False
PAX5,22,False
PAX6,302,True
PAX7,19,False
PAX8,21,True
PBX1,33,True
PBX2,5,True
PBX3,79,True
PBX4,14,True
PCP4,1,True
PDCD11,3,False
PDE1C,1,True
PDE6H,1,False
PDLIM5,5,True
PDS5A,1,True
PGAM2,5,True
PGR,32,True
PHF2,6,False
PHF21A,12,True
PHF8,70,False
PHTF1,7,True
PIK3C3,3,True
PITX1,7,False
PITX3,2,False
PKM,7,True
PKNOX1,56,True
PKNOX2,5,True
PLAG1,6,False
PLAGL1,7,True
PLAGL2,6,True
PLEKHO1,1,True
PML,99,True
POLD2,25,True
POLE3,9,False
POLE4,6,True
POLI,4,False
POLR2A,94,True
POLR3A,51,False
POLR3G,23,True
POU1F1,8,False
POU2AF1,4,False
POU2F1,151,True
POU2F2,136,False
POU2F3,25,False
POU3F1,26,False
POU3F2,29,True
POU3F4,11,False
POU4F1,2,True
POU5F1,34,False
POU6F1,62,False
POU6F2,4,True
PPARA,95,True
PPARD,88,True
PPARG,28,True
PPARGC1A,10,True
PPP1R10,3,True
PPP2R3B,2,True
PRDM1,55,True
PRDM11,2,True
PRDM14,1,False
PRDM15,7,True
PRDM16,169,True
PRDM4,7,False
PRDM5,11,True
PRDM6,21,True
PRDM9,2,False
PRDX5,4,False
PRKAA1,16,False
PRKAA2,14,True
PRNP,10,True
PROP1,3,False
PROX1,4,True
PRRX1,47,True
PRRX2,20,True
PSMD12,53,True
PTF1A,1,False
PUM3,26,False
PURA,28,True
R3HDM2,16,True
RAB14,1,True
RAB18,12,True
RAB7A,2,False
RAD21,144,True
RAN,5,True
RARA,37,False
RARB,3,True
RARG,37,False
RAX2,6,False
RB1,16,True
RBBP5,54,False
RBBP9,3,True
RBFOX2,13,True
RBM17,3,False
RBM22,4,True
RBM3,5,True
RBM42,2,True
RBM7,1,False
RBM8A,2,False
RBMS1,13,False
RBPJ,149,True
RBPJL,3,False
RCOR1,130,True
REL,155,False
RELA,90,True
RELB,112,True
REST,54,True
RFC3,1,True
RFTN2,1,True
RFX1,39,False
RFX2,211,True
RFX3,21,True
RFX4,108,True
RFX5,61,False
RFX6,2,False
RFX7,17,True
RFXANK,4,True
RFXAP,5,True
RHOXF1,2,True
RHOXF2,1,False
RIOK2,1,True
RLF,1,True
RNASEH2C,1,True
RNF114,1,True
RORA,12,True
RORB,4,True
RORC,11,False
RPL23,1,True
RPL35,1,False
RPL6,1,False
RPS4X,4,False
RPS6KA5,1,True
RREB1,42,False
RUNX1,25,True
RUNX2,36,True
RUNX3,139,False
RUVBL1,1,True
RXRA,122,True
RXRB,49,True
RXRG,15,True
SALL1,4,True
SALL2,10,True
SALL3,2,False
SALL4,6,False
SCAND2P,1,False
SCMH1,5,False
SCRT1,4,True
SCX,2,False
SEMA4A,1,True
SETBP1,8,True
SETDB1,51,True
SF1,19,True
SF3B1,1,False
SFPQ,2,True
SFT2D1,1,False
SHOX,11,False
SIN3A,69,True
SIRT6,35,False
SIX1,17,False
SIX3,15,True
SIX4,17,True
SIX5,11,False
SKOR1,3,True
SKOR2,1,False
SLC18A1,2,False
SLC1A3,1,True
SLIT2,1,True
SMAD1,76,True
SMAD2,18,True
SMAD3,19,True
SMAD4,22,True
SMAD5,13,True
SMAD6,18,True
SMAD7,19,True
SMAD9,22,True
SMARCA1,15,True
SMARCA5,6,True
SMARCC1,33,False
SMC3,33,True
SMUG1,1,False
SNAI1,17,False
SNAI2,8,True
SNAI3,8,True
SNAPC4,15,False
SNAPC5,1,False
SNRNP70,8,True
SOCS4,1,True
SOD1,1,True
SOHLH2,2,False
SOX10,205,True
SOX11,8,False
SOX12,32,True
SOX13,36,False
SOX15,22,True
SOX17,44,False
SOX18,78,False
SOX21,10,False
SOX3,8,False
SOX30,17,True
SOX4,22,True
SOX5,33,True
SOX6,12,True
SOX7,48,False
SOX8,182,False
SOX9,193,True
SP1,136,True
SP100,2,True
SP110,3,True
SP2,57,False
SP3,109,True
SP4,92,True
SP5,3,False
SP6,2,False
SP7,17,False
SP8,1,True
SP9,5,False
SPATS2,2,True
SPDEF,10,False
SPI1,154,True
SPIB,21,False
SPIC,8,False
SPR,2,True
SRBD1,5,True
SREBF1,204,True
SREBF2,301,True
SRF,81,False
SRGAP1,1,True
SRP9,2,True
SRRM3,56,True
SSBP3,6,True
SSRP1,5,False
STAT1,27,True
STAT2,156,True
STAT3,136,True
STAT4,11,True
STAT5A,92,False
STAT5B,86,True
STAT6,109,True
STAU2,13,True
STUB1,1,False
SUCLG1,2,True
TAF1,172,True
TAF1A,2,True
TAF1L,1,False
TAF7,39,True
TAGLN2,4,False
TAL1,117,False
TAL2,4,False
TBL1XR1,129,True
TBP,50,True
TBPL1,9,True
TBPL2,8,False
TBR1,1,False
TBX1,11,False
TBX10,13,False
TBX15,59,False
TBX18,4,True
TBX19,50,True
TBX2,12,False
TBX20,9,False
TBX21,56,False
TBX22,2,False
TBX3,11,False
TBX5,6,True
TBX6,27,True
TCEAL2,2,False
TCEAL6,3,False
TCF12,699,True
TCF15,3,False
TCF23,2,False
TCF24,8,False
TCF3,69,True
TCF4,29,True
TCF7,17,True
TCF7L1,460,True
TCF7L2,406,True
TCFL5,6,True
TEAD1,193,True
TEAD2,23,True
TEAD3,33,False
TEAD4,117,False
TEF,66,True
TERF1,3,False
TERF2,3,False
TET1,1,True
TFAM,5,True
TFAP2A,19,False
TFAP2C,29,False
TFAP2D,6,False
TFAP2E,23,True
TFAP4,36,True
TFCP2,47,True
TFCP2L1,27,True
TFDP1,38,True
TFDP2,21,True
TFE3,30,True
TFEB,140,True
TFEC,8,False
TGIF1,35,True
THAP1,25,False
THAP11,16,True
THAP12,5,False
THOC2,2,True
THRA,29,True
THRB,1,True
TIA1,2,False
TIMM44,2,False
TLR7,1,False
TLX2,7,False
TMEM33,8,False
TOB2,4,False
TP53,68,False
TP63,18,False
TP73,15,False
TPI1,6,False
TPPP,1,False
TRAF4,15,True
TRIB3,1,False
TRIM21,1,False
TRIM28,74,True
TRIM69,1,True
TRIP10,1,True
TRMO,1,True
TRMT1,8,False
TRPS1,161,True
TSC22D4,1,True
TSN,1,True
TWIST1,12,False
TWIST2,7,False
U2AF1,2,False
UBB,1,True
UBE2K,3,True
UBP1,24,False
UBTF,53,True
UBXN1,2,True
UGP2,1,True
UQCRB,38,False
USF1,39,False
USF2,82,True
USP39,1,True
USPL1,1,False
UST,1,True
UTP18,5,True
VAX1,18,True
VAX2,19,True
VDR,20,False
VENTX,33,True
VEZF1,38,True
VPS72,10,False
VSX1,16,False
VSX2,6,False
WRNIP1,27,True
WT1,20,False
XBP1,66,True
XPA,1,True
XRCC1,4,False
YBX1,15,True
YEATS4,3,False
YOD1,2,True
YWHAE,1,True
YY1,138,True
ZBTB1,7,True
ZBTB11,8,False
ZBTB12,5,False
ZBTB14,37,False
ZBTB16,5,True
ZBTB17,45,True
ZBTB18,4,True
ZBTB2,8,True
ZBTB20,4,True
ZBTB22,2,False
ZBTB24,2,True
ZBTB25,1,False
ZBTB3,1,True
ZBTB33,18,True
ZBTB34,2,True
ZBTB37,2,True
ZBTB38,1,True
ZBTB4,11,False
ZBTB40,13,True
ZBTB41,13,True
ZBTB42,1,False
ZBTB43,2,False
ZBTB44,2,True
ZBTB45,5,False
ZBTB46,1,True
ZBTB47,1,True
ZBTB48,1,True
ZBTB49,15,False
ZBTB5,1,False
ZBTB6,1,True
ZBTB7A,128,True
ZBTB7B,56,True
ZBTB7C,1,True
ZC3H7A,1,True
ZCCHC14,7,True
ZCCHC17,1,True
ZDHHC15,4,True
ZDHHC5,1,False
ZEB1,266,True
ZEB2,3,True
ZFHX2,18,True
ZFHX3,11,True
ZFP1,14,False
ZFP14,6,True
ZFP2,6,False
ZFP28,6,True
ZFP3,12,True
ZFP30,4,True
ZFP37,1,True
ZFP42,2,False
ZFP57,1,True
ZFP62,18,True
ZFP64,23,True
ZFP69,2,True
ZFP82,6,True
ZFP90,10,False
ZFP92,2,False
ZFPM1,2,False
ZFX,48,True
ZFY,28,False
ZHX3,15,False
ZIC1,62,False
ZIC2,33,False
ZIC3,31,False
ZIC4,6,False
ZIC5,19,False
ZIK1,1,False
ZKSCAN1,66,True
ZKSCAN3,4,True
ZKSCAN4,1,False
ZKSCAN5,2,False
ZKSCAN7,5,True
ZKSCAN8,8,True
ZMAT2,2,False
ZMAT4,3,True
ZNF10,6,True
ZNF100,4,False
ZNF101,6,False
ZNF107,8,True
ZNF112,2,True
ZNF117,5,True
ZNF12,6,True
ZNF121,16,True
ZNF124,4,False
ZNF131,8,False
ZNF132,4,False
ZNF133,21,True
ZNF134,3,True
ZNF135,8,True
ZNF136,4,False
ZNF138,1,True
ZNF14,5,False
ZNF140,7,True
ZNF141,9,False
ZNF143,62,True
ZNF146,14,True
ZNF148,83,True
ZNF155,7,True
ZNF157,4,False
ZNF16,17,True
ZNF160,9,False
ZNF165,1,False
ZNF169,1,True
ZNF175,7,False
ZNF18,1,True
ZNF180,3,False
ZNF182,7,True
ZNF184,2,False
ZNF189,23,True
ZNF19,2,True
ZNF195,7,True
ZNF197,2,True
ZNF2,1,False
ZNF20,1,True
ZNF200,20,True
ZNF202,4,True
ZNF205,1,False
ZNF207,20,True
ZNF208,8,True
ZNF214,6,True
ZNF217,26,False
ZNF219,8,True
ZNF22,2,True
ZNF224,11,True
ZNF225,3,False
ZNF226,5,True
ZNF227,9,False
ZNF230,5,False
ZNF232,6,True
ZNF233,4,True
ZNF234,8,True
ZNF235,16,True
ZNF236,17,True
ZNF239,8,False
ZNF24,2,True
ZNF248,7,False
ZNF25,4,True
ZNF250,18,False
ZNF251,9,True
ZNF253,4,True
ZNF254,15,True
ZNF256,4,False
ZNF257,3,False
ZNF26,4,True
ZNF260,8,False
ZNF263,38,False
ZNF264,5,True
ZNF266,15,False
ZNF267,7,False
ZNF273,3,True
ZNF274,71,True
ZNF275,6,True
ZNF276,3,False
ZNF28,7,False
ZNF280B,2,False
ZNF280D,3,True
ZNF281,23,True
ZNF282,4,True
ZNF283,5,True
ZNF284,2,True
ZNF286B,2,False
ZNF287,7,False
ZNF296,2,False
ZNF3,3,True
ZNF30,7,False
ZNF302,1,True
ZNF304,1,False
ZNF316,21,True
ZNF317,8,True
ZNF319,11,False
ZNF32,5,False
ZNF320,2,False
ZNF322,4,False
ZNF324,3,True
ZNF324B,1,True
ZNF329,2,True
ZNF331,6,False
ZNF333,13,True
ZNF334,1,True
ZNF335,6,True
ZNF337,3,True
ZNF33A,10,True
ZNF33B,3,True
ZNF341,12,True
ZNF343,1,True
ZNF345,8,True
ZNF35,8,False
ZNF350,6,True
ZNF354A,1,True
ZNF354B,4,True
ZNF354C,12,True
ZNF358,9,False
ZNF362,73,True
ZNF366,3,False
ZNF367,2,False
ZNF382,17,True
ZNF383,1,False
ZNF384,25,False
ZNF385A,1,True
ZNF391,1,True
ZNF394,11,True
ZNF396,2,True
ZNF397,3,True
ZNF398,4,True
ZNF404,2,True
ZNF407,5,True
ZNF408,3,True
ZNF41,7,False
ZNF410,1,False
ZNF414,1,False
ZNF415,3,True
ZNF418,5,True
ZNF420,2,True
ZNF423,3,True
ZNF425,4,True
ZNF426,13,True
ZNF429,38,False
ZNF43,14,False
ZNF430,7,True
ZNF431,2,True
ZNF432,6,False
ZNF433,4,False
ZNF436,5,True
ZNF438,4,True
ZNF44,6,True
ZNF440,1,False
ZNF441,2,True
ZNF442,1,True
ZNF444,13,False
ZNF445,10,True
ZNF449,10,True
ZNF45,2,True
ZNF451,4,True
ZNF454,9,True
ZNF460,36,True
ZNF461,3,True
ZNF467,40,False
ZNF470,1,True
ZNF471,35,True
ZNF479,3,False
ZNF48,3,False
ZNF480,3,True
ZNF483,6,True
ZNF484,6,True
ZNF485,1,False
ZNF486,4,True
ZNF490,5,True
ZNF491,4,False
ZNF492,3,True
ZNF493,3,False
ZNF500,1,False
ZNF501,4,False
ZNF502,28,False
ZNF507,1,True
ZNF510,7,True
ZNF513,19,False
ZNF514,1,True
ZNF516,58,True
ZNF517,4,True
ZNF519,4,True
ZNF521,1,True
ZNF524,2,True
ZNF525,1,False
ZNF526,2,True
ZNF527,5,False
ZNF529,5,True
ZNF530,2,False
ZNF534,1,False
ZNF536,184,True
ZNF540,8,True
ZNF541,1,True
ZNF542P,3,False
ZNF543,3,True
ZNF546,3,True
ZNF549,10,True
ZNF550,1,True
ZNF552,1,False
ZNF554,14,True
ZNF555,5,True
ZNF556,2,False
ZNF557,2,True
ZNF558,3,True
ZNF560,3,False
ZNF561,15,True
ZNF562,24,True
ZNF563,1,True
ZNF565,3,True
ZNF567,4,False
ZNF568,9,True
ZNF569,3,False
ZNF57,1,False
ZNF570,2,False
ZNF572,1,False
ZNF573,3,False
ZNF574,1,True
ZNF577,2,True
ZNF578,6,True
ZNF579,10,False
ZNF580,3,False
ZNF582,10,True
ZNF583,8,True
ZNF584,1,False
ZNF585B,2,True
ZNF586,11,False
ZNF587,5,False
ZNF589,13,True
ZNF592,3,True
ZNF594,7,False
ZNF595,10,True
ZNF596,1,True
ZNF597,4,False
ZNF598,1,False
ZNF600,6,True
ZNF606,1,False
ZNF607,7,False
ZNF610,1,True
ZNF611,9,False
ZNF613,2,True
ZNF614,1,True
ZNF615,4,True
ZNF616,3,True
ZNF620,2,False
ZNF622,1,False
ZNF623,5,True
ZNF624,6,True
ZNF628,2,False
ZNF629,5,False
ZNF630,3,True
ZNF639,5,False
ZNF641,2,True
ZNF646,2,True
ZNF648,1,False
ZNF652,15,False
ZNF654,2,False
ZNF658,1,True
ZNF658B,4,False
ZNF66,1,True
ZNF665,6,False
ZNF667,7,True
ZNF668,2,False
ZNF669,3,False
ZNF671,8,False
ZNF672,6,False
ZNF674,3,True
ZNF675,7,True
ZNF676,3,True
ZNF677,3,False
ZNF678,2,False
ZNF679,1,False
ZNF680,6,True
ZNF681,4,False
ZNF682,3,True
ZNF683,4,False
ZNF684,2,False
ZNF687,1,False
ZNF689,1,True
ZNF69,4,True
ZNF691,11,True
ZNF692,3,True
ZNF696,1,True
ZNF697,1,True
ZNF699,8,False
ZNF70,4,True
ZNF704,4,True
ZNF706,1,True
ZNF708,41,True
ZNF710,3,False
ZNF711,2,True
ZNF714,4,True
ZNF716,3,False
ZNF717,4,True
ZNF718,7,True
ZNF720,2,True
ZNF721,21,False
ZNF726,1,False
ZNF729,4,False
ZNF730,2,True
ZNF732,1,True
ZNF735,2,False
ZNF74,2,True
ZNF740,20,True
ZNF746,2,True
ZNF749,2,False
ZNF75A,3,True
ZNF75D,3,True
ZNF76,7,True
ZNF761,5,True
ZNF765,1,True
ZNF766,3,False
ZNF768,20,False
ZNF77,4,True
ZNF770,4,True
ZNF771,5,True
ZNF773,1,False
ZNF774,1,True
ZNF775,5,False
ZNF776,1,False
ZNF777,1,True
ZNF778,16,False
ZNF780B,25,True
ZNF782,8,True
ZNF784,3,False
ZNF785,1,True
ZNF786,10,True
ZNF787,14,False
ZNF789,2,True
ZNF79,9,True
ZNF790,2,True
ZNF791,3,False
ZNF792,2,False
ZNF793,1,True
ZNF800,1,True
ZNF805,2,False
ZNF808,9,True
ZNF81,1,True
ZNF813,1,True
ZNF814,4,False
ZNF821,16,False
ZNF823,12,True
ZNF829,2,True
ZNF83,6,True
ZNF831,2,True
ZNF835,2,False
ZNF837,2,False
ZNF84,54,True
ZNF845,4,True
ZNF846,21,True
ZNF85,4,True
ZNF853,6,False
ZNF879,9,True
ZNF880,1,False
ZNF883,1,False
ZNF891,3,True
ZNF90,7,False
ZNF91,57,True
ZNF92,3,True
ZNF93,4,True
ZNF98,5,False
ZNF99,3,False
ZRSR2,7,True
ZSCAN1,2,True
ZSCAN10,2,False
ZSCAN12,1,False
ZSCAN16,3,False
ZSCAN18,1,False
ZSCAN2,5,False
ZSCAN20,12,True
ZSCAN21,3,False
ZSCAN22,2,False
ZSCAN23,2,True
ZSCAN26,2,False
ZSCAN29,8,False
ZSCAN30,1,True
