Gene,Gene Prioritization Count,Overlapping
ABL1,2,False
ACAA1,3,True
ACO1,2,True
ADARB1,50,True
ADNP,3,True
ADNP2,3,True
AEBP2,1,True
AGAP2,3,True
AGMAT,1,False
AHCTF1,21,True
AHR,1,True
AIRE,2,False
AKNA,1,True
AKR1A1,6,False
ALX3,23,False
ALX4,19,True
ANXA1,1,True
ANXA11,6,True
APCDD1,1,True
APEX2,1,True
AR,20,False
ARG1,1,True
ARGFX,4,False
ARHGAP31,1,False
ARID3A,124,True
ARID3B,1,True
ARID3C,1,False
ARID5A,15,True
ARID5B,11,True
ARNT,50,True
ARNT2,9,True
ARNTL,42,True
ARNTL2,2,False
ARX,7,False
ASAP3,11,True
ASCC1,2,True
ASCL1,27,True
ASCL2,28,False
ASPSCR1,3,True
ATF1,58,True
ATF2,93,True
ATF3,89,True
ATF4,64,False
ATF5,19,True
ATF6,105,True
ATF6B,37,True
ATF7,14,True
ATOH7,5,False
ATOH8,16,True
AVEN,2,False
BACH1,81,True
BACH2,104,True
BAD,2,False
BANP,1,True
BARX2,3,False
BATF,46,False
BATF3,49,True
BBX,68,True
BCL11A,10,True
BCL11B,1,True
BCL3,104,False
BCL6,205,True
BCL6B,36,False
BCLAF1,143,True
BDP1,48,False
BHLHA15,10,False
BHLHE22,11,True
BHLHE40,97,True
BHLHE41,43,True
BNC1,2,False
BNC2,2,True
BPTF,35,True
BRCA1,10,True
BRF1,94,False
BRF2,29,False
BSX,4,False
C19orf25,3,True
CAP1,1,False
CARF,2,False
CBFA2T2,1,True
CBFB,81,True
CBX7,1,True
CCDC25,3,True
CCNT2,37,True
CD226,1,True
CD59,22,True
CDC5L,9,True
CDX1,5,False
CEBPA,99,True
CEBPB,163,True
CEBPD,129,True
CEBPG,78,True
CEBPZ,31,True
CENPB,3,False
CERS2,4,False
CERS3,1,False
CERS4,10,True
CERS5,17,False
CERS6,1,True
CFL2,2,True
CHD1,95,True
CHD2,32,False
CHRDL1,1,True
CHURC1,2,False
CIC,9,True
CKMT1B,2,True
CLK1,2,True
CLOCK,43,True
CNOT3,7,True
CNOT4,22,True
CNOT6,4,True
CPEB1,14,True
CPSF4,19,True
CPTP,2,False
CREB1,63,True
CREB3,27,False
CREB3L1,7,True
CREB3L2,102,True
CREB3L4,18,False
CREB5,57,True
CREBL2,21,True
CREBZF,3,False
CREM,62,True
CRTC2,3,False
CRX,13,False
CSTF2,1,False
CTBP1,3,True
CTCF,119,False
CTCFL,17,False
CTNNB1,16,True
CUX1,138,True
CUX2,7,False
CXXC1,11,False
CYB5R1,2,True
DAZAP1,6,True
DBP,38,True
DBX2,21,False
DDIT3,39,False
DDX20,1,False
DDX4,1,True
DEAF1,43,True
DGCR8,4,False
DHX36,10,True
DIS3,5,False
DLX1,6,False
DLX2,9,False
DLX4,5,False
DLX5,9,False
DLX6,3,False
DMAP1,2,True
DMBX1,9,False
DMRT1,6,False
DMRT2,3,True
DMRT3,6,False
DMRTA1,5,False
DMRTA2,9,True
DMRTC2,4,False
DNAJC21,1,True
DNMT1,2,True
DNMT3A,11,False
DNTTIP1,1,False
DPRX,4,False
DRAM1,1,True
DRGX,3,False
DTL,11,False
DUSP22,1,True
DUSP26,1,True
DUX4,1,False
DUXA,3,False
E2F1,44,False
E2F2,34,False
E2F3,113,True
E2F4,59,True
E2F5,5,True
E2F6,52,True
E2F7,37,False
E2F8,14,False
E4F1,20,True
EBF1,6,False
EBF2,11,False
EBF3,1,True
EBF4,4,True
ECSIT,1,False
EDN1,4,False
EEF1D,1,True
EGR1,49,True
EGR2,21,False
EGR3,20,True
EGR4,21,True
EHF,10,False
ELF1,342,True
ELF2,362,True
ELF3,14,False
ELF4,110,False
ELF5,9,False
ELK1,44,True
ELK3,89,False
ELK4,90,True
EMX1,11,False
EMX2,120,False
EN2,12,False
ENO1,10,True
EOMES,19,False
EP300,137,True
ERG,55,True
ESR1,14,True
ESR2,16,True
ESRRA,83,True
ESRRB,32,False
ESRRG,15,True
ETFB,1,True
ETS1,155,True
ETS2,127,True
ETV1,1,True
ETV2,10,False
